id_new,id_old
sh600000,600000
sh600001,600001
sh600002,600002
sh600003,600003
sh600004,600004
sh600005,600005
sh600006,600006
sh600007,600007
sh600008,600008
sh600009,600009
sh600010,600010
sh600011,600011
sh600012,600012
sh600015,600015
sh600016,600016
sh600017,600017
sh600018,600018
sh600019,600019
sh600020,600020
sh600021,600021
sh600022,600022
sh600023,600023
sh600026,600026
sh600027,600027
sh600028,600028
sh600029,600029
sh600030,600030
sh600031,600031
sh600033,600033
sh600035,600035
sh600036,600036
sh600037,600037
sh600038,600038
sh600039,600039
sh600048,600048
sh600050,600050
sh600051,600051
sh600052,600052
sh600053,600053
sh600054,600054
sh600055,600055
sh600056,600056
sh600057,600057
sh600058,600058
sh600059,600059
sh600060,600060
sh600061,600061
sh600062,600062
sh600063,600063
sh600064,600064
sh600065,600065
sh600066,600066
sh600067,600067
sh600068,600068
sh600069,600069
sh600070,600070
sh600071,600071
sh600072,600072
sh600073,600073
sh600074,600074
sh600075,600075
sh600076,600076
sh600077,600077
sh600078,600078
sh600079,600079
sh600080,600080
sh600081,600081
sh600082,600082
sh600083,600083
sh600084,600084
sh600085,600085
sh600086,600086
sh600087,600087
sh600088,600088
sh600089,600089
sh600090,600090
sh600091,600091
sh600092,600092
sh600093,600093
sh600094,600094
sh600095,600095
sh600096,600096
sh600097,600097
sh600098,600098
sh600099,600099
sh600100,600100
sh600101,600101
sh600102,600102
sh600103,600103
sh600104,600104
sh600105,600105
sh600106,600106
sh600107,600107
sh600108,600108
sh600109,600109
sh600110,600110
sh600111,600111
sh600112,600112
sh600113,600113
sh600114,600114
sh600115,600115
sh600116,600116
sh600117,600117
sh600118,600118
sh600119,600119
sh600120,600120
sh600121,600121
sh600122,600122
sh600123,600123
sh600125,600125
sh600126,600126
sh600127,600127
sh600128,600128
sh600129,600129
sh600130,600130
sh600131,600131
sh600132,600132
sh600133,600133
sh600135,600135
sh600136,600136
sh600137,600137
sh600138,600138
sh600139,600139
sh600141,600141
sh600143,600143
sh600145,600145
sh600146,600146
sh600148,600148
sh600149,600149
sh600150,600150
sh600151,600151
sh600152,600152
sh600153,600153
sh600155,600155
sh600156,600156
sh600157,600157
sh600158,600158
sh600159,600159
sh600160,600160
sh600161,600161
sh600162,600162
sh600163,600163
sh600165,600165
sh600166,600166
sh600167,600167
sh600168,600168
sh600169,600169
sh600170,600170
sh600171,600171
sh600172,600172
sh600173,600173
sh600175,600175
sh600176,600176
sh600177,600177
sh600178,600178
sh600179,600179
sh600180,600180
sh600181,600181
sh600182,600182
sh600183,600183
sh600184,600184
sh600185,600185
sh600186,600186
sh600187,600187
sh600188,600188
sh600189,600189
sh600190,600190
sh600191,600191
sh600192,600192
sh600193,600193
sh600195,600195
sh600196,600196
sh600197,600197
sh600198,600198
sh600199,600199
sh600200,600200
sh600201,600201
sh600202,600202
sh600203,600203
sh600205,600205
sh600206,600206
sh600207,600207
sh600208,600208
sh600209,600209
sh600210,600210
sh600211,600211
sh600212,600212
sh600213,600213
sh600215,600215
sh600216,600216
sh600217,600217
sh600218,600218
sh600219,600219
sh600220,600220
sh600221,600221
sh600222,600222
sh600223,600223
sh600225,600225
sh600226,600226
sh600227,600227
sh600228,600228
sh600229,600229
sh600230,600230
sh600231,600231
sh600232,600232
sh600233,600233
sh600234,600234
sh600235,600235
sh600236,600236
sh600237,600237
sh600238,600238
sh600239,600239
sh600240,600240
sh600241,600241
sh600242,600242
sh600243,600243
sh600246,600246
sh600247,600247
sh600248,600248
sh600249,600249
sh600250,600250
sh600251,600251
sh600252,600252
sh600253,600253
sh600255,600255
sh600256,600256
sh600257,600257
sh600258,600258
sh600259,600259
sh600260,600260
sh600261,600261
sh600262,600262
sh600263,600263
sh600265,600265
sh600266,600266
sh600267,600267
sh600268,600268
sh600269,600269
sh600270,600270
sh600271,600271
sh600272,600272
sh600273,600273
sh600275,600275
sh600276,600276
sh600277,600277
sh600278,600278
sh600279,600279
sh600280,600280
sh600281,600281
sh600282,600282
sh600283,600283
sh600284,600284
sh600285,600285
sh600286,600286
sh600287,600287
sh600288,600288
sh600289,600289
sh600290,600290
sh600291,600291
sh600292,600292
sh600293,600293
sh600295,600295
sh600296,600296
sh600297,600297
sh600298,600298
sh600299,600299
sh600300,600300
sh600301,600301
sh600302,600302
sh600303,600303
sh600305,600305
sh600306,600306
sh600307,600307
sh600308,600308
sh600309,600309
sh600310,600310
sh600311,600311
sh600312,600312
sh600313,600313
sh600315,600315
sh600316,600316
sh600317,600317
sh600318,600318
sh600319,600319
sh600320,600320
sh600321,600321
sh600322,600322
sh600323,600323
sh600325,600325
sh600326,600326
sh600327,600327
sh600328,600328
sh600329,600329
sh600330,600330
sh600331,600331
sh600332,600332
sh600333,600333
sh600335,600335
sh600336,600336
sh600337,600337
sh600338,600338
sh600339,600339
sh600340,600340
sh600343,600343
sh600345,600345
sh600346,600346
sh600348,600348
sh600349,600349
sh600350,600350
sh600351,600351
sh600352,600352
sh600353,600353
sh600354,600354
sh600355,600355
sh600356,600356
sh600357,600357
sh600358,600358
sh600359,600359
sh600360,600360
sh600361,600361
sh600362,600362
sh600363,600363
sh600365,600365
sh600366,600366
sh600367,600367
sh600368,600368
sh600369,600369
sh600370,600370
sh600371,600371
sh600372,600372
sh600373,600373
sh600375,600375
sh600376,600376
sh600377,600377
sh600378,600378
sh600379,600379
sh600380,600380
sh600381,600381
sh600382,600382
sh600383,600383
sh600385,600385
sh600386,600386
sh600387,600387
sh600388,600388
sh600389,600389
sh600390,600390
sh600391,600391
sh600392,600392
sh600393,600393
sh600395,600395
sh600396,600396
sh600397,600397
sh600398,600398
sh600399,600399
sh600400,600400
sh600401,600401
sh600403,600403
sh600405,600405
sh600406,600406
sh600408,600408
sh600409,600409
sh600410,600410
sh600415,600415
sh600416,600416
sh600418,600418
sh600419,600419
sh600420,600420
sh600421,600421
sh600422,600422
sh600423,600423
sh600425,600425
sh600426,600426
sh600428,600428
sh600429,600429
sh600432,600432
sh600433,600433
sh600435,600435
sh600436,600436
sh600438,600438
sh600439,600439
sh600444,600444
sh600446,600446
sh600448,600448
sh600449,600449
sh600452,600452
sh600455,600455
sh600456,600456
sh600458,600458
sh600459,600459
sh600460,600460
sh600461,600461
sh600462,600462
sh600463,600463
sh600466,600466
sh600467,600467
sh600468,600468
sh600469,600469
sh600470,600470
sh600472,600472
sh600475,600475
sh600476,600476
sh600477,600477
sh600478,600478
sh600479,600479
sh600480,600480
sh600481,600481
sh600482,600482
sh600483,600483
sh600485,600485
sh600486,600486
sh600487,600487
sh600488,600488
sh600489,600489
sh600490,600490
sh600491,600491
sh600493,600493
sh600495,600495
sh600496,600496
sh600497,600497
sh600498,600498
sh600499,600499
sh600500,600500
sh600501,600501
sh600502,600502
sh600503,600503
sh600505,600505
sh600506,600506
sh600507,600507
sh600508,600508
sh600509,600509
sh600510,600510
sh600511,600511
sh600512,600512
sh600513,600513
sh600515,600515
sh600516,600516
sh600517,600517
sh600518,600518
sh600519,600519
sh600520,600520
sh600521,600521
sh600522,600522
sh600523,600523
sh600525,600525
sh600526,600526
sh600527,600527
sh600528,600528
sh600529,600529
sh600530,600530
sh600531,600531
sh600532,600532
sh600533,600533
sh600535,600535
sh600536,600536
sh600537,600537
sh600538,600538
sh600539,600539
sh600540,600540
sh600543,600543
sh600545,600545
sh600546,600546
sh600547,600547
sh600548,600548
sh600549,600549
sh600550,600550
sh600551,600551
sh600552,600552
sh600553,600553
sh600555,600555
sh600556,600556
sh600557,600557
sh600558,600558
sh600559,600559
sh600560,600560
sh600561,600561
sh600562,600562
sh600563,600563
sh600565,600565
sh600566,600566
sh600567,600567
sh600568,600568
sh600569,600569
sh600570,600570
sh600571,600571
sh600572,600572
sh600573,600573
sh600575,600575
sh600576,600576
sh600577,600577
sh600578,600578
sh600579,600579
sh600580,600580
sh600581,600581
sh600582,600582
sh600583,600583
sh600584,600584
sh600585,600585
sh600586,600586
sh600587,600587
sh600588,600588
sh600589,600589
sh600590,600590
sh600591,600591
sh600592,600592
sh600593,600593
sh600594,600594
sh600595,600595
sh600596,600596
sh600597,600597
sh600598,600598
sh600599,600599
sh600600,600600
sh600601,600601
sh600602,600602
sh600603,600603
sh600604,600604
sh600605,600605
sh600606,600606
sh600607,600607
sh600608,600608
sh600609,600609
sh600610,600610
sh600611,600611
sh600612,600612
sh600613,600613
sh600614,600614
sh600615,600615
sh600616,600616
sh600617,600617
sh600618,600618
sh600619,600619
sh600620,600620
sh600621,600621
sh600622,600622
sh600623,600623
sh600624,600624
sh600625,600625
sh600626,600626
sh600627,600627
sh600628,600628
sh600629,600629
sh600630,600630
sh600631,600631
sh600632,600632
sh600633,600633
sh600634,600634
sh600635,600635
sh600636,600636
sh600637,600637
sh600638,600638
sh600639,600639
sh600640,600640
sh600641,600641
sh600642,600642
sh600643,600643
sh600644,600644
sh600645,600645
sh600646,600646
sh600647,600647
sh600648,600648
sh600649,600649
sh600650,600650
sh600651,600651
sh600652,600652
sh600653,600653
sh600654,600654
sh600655,600655
sh600656,600656
sh600657,600657
sh600658,600658
sh600659,600659
sh600660,600660
sh600661,600661
sh600662,600662
sh600663,600663
sh600664,600664
sh600665,600665
sh600666,600666
sh600667,600667
sh600668,600668
sh600669,600669
sh600670,600670
sh600671,600671
sh600672,600672
sh600673,600673
sh600674,600674
sh600675,600675
sh600676,600676
sh600677,600677
sh600678,600678
sh600679,600679
sh600680,600680
sh600681,600681
sh600682,600682
sh600683,600683
sh600684,600684
sh600685,600685
sh600686,600686
sh600687,600687
sh600688,600688
sh600689,600689
sh600690,600690
sh600691,600691
sh600692,600692
sh600693,600693
sh600694,600694
sh600695,600695
sh600696,600696
sh600697,600697
sh600698,600698
sh600699,600699
sh600700,600700
sh600701,600701
sh600702,600702
sh600703,600703
sh600704,600704
sh600705,600705
sh600706,600706
sh600707,600707
sh600708,600708
sh600709,600709
sh600710,600710
sh600711,600711
sh600712,600712
sh600713,600713
sh600714,600714
sh600715,600715
sh600716,600716
sh600717,600717
sh600718,600718
sh600719,600719
sh600720,600720
sh600721,600721
sh600722,600722
sh600723,600723
sh600724,600724
sh600725,600725
sh600726,600726
sh600727,600727
sh600728,600728
sh600729,600729
sh600730,600730
sh600731,600731
sh600732,600732
sh600733,600733
sh600734,600734
sh600735,600735
sh600736,600736
sh600737,600737
sh600738,600738
sh600739,600739
sh600740,600740
sh600741,600741
sh600742,600742
sh600743,600743
sh600744,600744
sh600745,600745
sh600746,600746
sh600747,600747
sh600748,600748
sh600749,600749
sh600750,600750
sh600751,600751
sh600752,600752
sh600753,600753
sh600754,600754
sh600755,600755
sh600756,600756
sh600757,600757
sh600758,600758
sh600759,600759
sh600760,600760
sh600761,600761
sh600762,600762
sh600763,600763
sh600764,600764
sh600765,600765
sh600766,600766
sh600767,600767
sh600768,600768
sh600769,600769
sh600770,600770
sh600771,600771
sh600772,600772
sh600773,600773
sh600774,600774
sh600775,600775
sh600776,600776
sh600777,600777
sh600778,600778
sh600779,600779
sh600780,600780
sh600781,600781
sh600782,600782
sh600783,600783
sh600784,600784
sh600785,600785
sh600786,600786
sh600787,600787
sh600788,600788
sh600789,600789
sh600790,600790
sh600791,600791
sh600792,600792
sh600793,600793
sh600794,600794
sh600795,600795
sh600796,600796
sh600797,600797
sh600798,600798
sh600799,600799
sh600800,600800
sh600801,600801
sh600802,600802
sh600803,600803
sh600804,600804
sh600805,600805
sh600806,600806
sh600807,600807
sh600808,600808
sh600809,600809
sh600810,600810
sh600811,600811
sh600812,600812
sh600813,600813
sh600814,600814
sh600815,600815
sh600816,600816
sh600817,600817
sh600818,600818
sh600819,600819
sh600820,600820
sh600821,600821
sh600822,600822
sh600823,600823
sh600824,600824
sh600825,600825
sh600826,600826
sh600827,600827
sh600828,600828
sh600829,600829
sh600830,600830
sh600831,600831
sh600832,600832
sh600833,600833
sh600834,600834
sh600835,600835
sh600836,600836
sh600837,600837
sh600838,600838
sh600839,600839
sh600840,600840
sh600841,600841
sh600842,600842
sh600843,600843
sh600844,600844
sh600845,600845
sh600846,600846
sh600847,600847
sh600848,600848
sh600849,600849
sh600850,600850
sh600851,600851
sh600852,600852
sh600853,600853
sh600854,600854
sh600855,600855
sh600856,600856
sh600857,600857
sh600858,600858
sh600859,600859
sh600860,600860
sh600861,600861
sh600862,600862
sh600863,600863
sh600864,600864
sh600865,600865
sh600866,600866
sh600867,600867
sh600868,600868
sh600869,600869
sh600870,600870
sh600871,600871
sh600872,600872
sh600873,600873
sh600874,600874
sh600875,600875
sh600876,600876
sh600877,600877
sh600878,600878
sh600879,600879
sh600880,600880
sh600881,600881
sh600882,600882
sh600883,600883
sh600884,600884
sh600885,600885
sh600886,600886
sh600887,600887
sh600888,600888
sh600889,600889
sh600890,600890
sh600891,600891
sh600892,600892
sh600893,600893
sh600894,600894
sh600895,600895
sh600896,600896
sh600897,600897
sh600898,600898
sh600899,600899
sh600900,600900
sh600908,600908
sh600909,600909
sh600917,600917
sh600919,600919
sh600926,600926
sh600936,600936
sh600958,600958
sh600959,600959
sh600960,600960
sh600961,600961
sh600962,600962
sh600963,600963
sh600965,600965
sh600966,600966
sh600967,600967
sh600969,600969
sh600970,600970
sh600971,600971
sh600973,600973
sh600975,600975
sh600976,600976
sh600977,600977
sh600978,600978
sh600979,600979
sh600980,600980
sh600981,600981
sh600982,600982
sh600983,600983
sh600984,600984
sh600985,600985
sh600986,600986
sh600987,600987
sh600988,600988
sh600990,600990
sh600991,600991
sh600992,600992
sh600993,600993
sh600995,600995
sh600997,600997
sh600998,600998
sh600999,600999
sh601000,601000
sh601001,601001
sh601002,601002
sh601003,601003
sh601005,601005
sh601006,601006
sh601007,601007
sh601008,601008
sh601009,601009
sh601010,601010
sh601011,601011
sh601012,601012
sh601015,601015
sh601016,601016
sh601018,601018
sh601020,601020
sh601021,601021
sh601028,601028
sh601038,601038
sh601058,601058
sh601069,601069
